dnaA BU_ATCC8492_00001
nfrA2 BU_ATCC8492_00002
transcript:BU_ATCC8492_00003 BU_ATCC8492_00003
transcript:BU_ATCC8492_00004 BU_ATCC8492_00004
transcript:BU_ATCC8492_00005 BU_ATCC8492_00005
transcript:BU_ATCC8492_00006 BU_ATCC8492_00006
transcript:BU_ATCC8492_00007 BU_ATCC8492_00007
transcript:BU_ATCC8492_00008 BU_ATCC8492_00008
transcript:BU_ATCC8492_00009 BU_ATCC8492_00009
transcript:BU_ATCC8492_00010 BU_ATCC8492_00010
transcript:BU_ATCC8492_00011 BU_ATCC8492_00011
transcript:BU_ATCC8492_00012 BU_ATCC8492_00012
transcript:BU_ATCC8492_00013 BU_ATCC8492_00013
transcript:BU_ATCC8492_00014 BU_ATCC8492_00014
transcript:BU_ATCC8492_00015 BU_ATCC8492_00015
transcript:BU_ATCC8492_00016 BU_ATCC8492_00016
dnaG_1 BU_ATCC8492_00017
transcript:BU_ATCC8492_00018 BU_ATCC8492_00018
transcript:BU_ATCC8492_00019 BU_ATCC8492_00019
transcript:BU_ATCC8492_00020 BU_ATCC8492_00020
transcript:BU_ATCC8492_00021 BU_ATCC8492_00021
transcript:BU_ATCC8492_00022 BU_ATCC8492_00022
transcript:BU_ATCC8492_00023 BU_ATCC8492_00023
transcript:BU_ATCC8492_00024 BU_ATCC8492_00024
transcript:BU_ATCC8492_00025 BU_ATCC8492_00025
transcript:BU_ATCC8492_00026 BU_ATCC8492_00026
transcript:BU_ATCC8492_00027 BU_ATCC8492_00027
transcript:BU_ATCC8492_00028 BU_ATCC8492_00028
transcript:BU_ATCC8492_00029 BU_ATCC8492_00029
transcript:BU_ATCC8492_00030 BU_ATCC8492_00030
transcript:BU_ATCC8492_00031 BU_ATCC8492_00031
transcript:BU_ATCC8492_00032 BU_ATCC8492_00032
transcript:BU_ATCC8492_00033 BU_ATCC8492_00033
transcript:BU_ATCC8492_00034 BU_ATCC8492_00034
transcript:BU_ATCC8492_00035 BU_ATCC8492_00035
transcript:BU_ATCC8492_00036 BU_ATCC8492_00036
contig_1_ncRNA16 contig_1_ncRNA16
transcript:BU_ATCC8492_00037 BU_ATCC8492_00037
transcript:BU_ATCC8492_00038 BU_ATCC8492_00038
contig_1_ncRNA27 contig_1_ncRNA27
transcript:BU_ATCC8492_00039 BU_ATCC8492_00039
transcript:BU_ATCC8492_00040 BU_ATCC8492_00040
transcript:BU_ATCC8492_00041 BU_ATCC8492_00041
transcript:BU_ATCC8492_00042 BU_ATCC8492_00042
transcript:BU_ATCC8492_00043 BU_ATCC8492_00043
zraR_1 BU_ATCC8492_00044
rcsC_1 BU_ATCC8492_00045
transcript:BU_ATCC8492_00046 BU_ATCC8492_00046
transcript:BU_ATCC8492_00047 BU_ATCC8492_00047
transcript:BU_ATCC8492_00048 BU_ATCC8492_00048
transcript:BU_ATCC8492_00049 BU_ATCC8492_00049
transcript:BU_ATCC8492_00050 BU_ATCC8492_00050
transcript:BU_ATCC8492_00051 BU_ATCC8492_00051
fim1C_1 BU_ATCC8492_00052
transcript:BU_ATCC8492_00053 BU_ATCC8492_00053
transcript:BU_ATCC8492_00054 BU_ATCC8492_00054
transcript:BU_ATCC8492_00055 BU_ATCC8492_00055
transcript:BU_ATCC8492_00056 BU_ATCC8492_00056
transcript:BU_ATCC8492_00057 BU_ATCC8492_00057
topB_1 BU_ATCC8492_00058
transcript:BU_ATCC8492_00059 BU_ATCC8492_00059
transcript:BU_ATCC8492_00060 BU_ATCC8492_00060
transcript:BU_ATCC8492_00061 BU_ATCC8492_00061
transcript:BU_ATCC8492_00062 BU_ATCC8492_00062
transcript:BU_ATCC8492_00063 BU_ATCC8492_00063
transcript:BU_ATCC8492_00064 BU_ATCC8492_00064
xerC_1 BU_ATCC8492_00065
transcript:BU_ATCC8492_00066 BU_ATCC8492_00066
folB BU_ATCC8492_00067
mgsA_1 BU_ATCC8492_00068
transcript:BU_ATCC8492_00069 BU_ATCC8492_00069
lpxL BU_ATCC8492_00070
mtaB BU_ATCC8492_00071
transcript:BU_ATCC8492_00072 BU_ATCC8492_00072
transcript:BU_ATCC8492_00073 BU_ATCC8492_00073
transcript:BU_ATCC8492_00074 BU_ATCC8492_00074
transcript:BU_ATCC8492_00075 BU_ATCC8492_00075
rplI BU_ATCC8492_00076
transcript:BU_ATCC8492_00077 BU_ATCC8492_00077
transcript:BU_ATCC8492_00078 BU_ATCC8492_00078
slyA BU_ATCC8492_00079
transcript:BU_ATCC8492_00080 BU_ATCC8492_00080
mprA_1 BU_ATCC8492_00081
sasA_1 BU_ATCC8492_00082
fusA_1 BU_ATCC8492_00083
transcript:BU_ATCC8492_00084 BU_ATCC8492_00084
transcript:BU_ATCC8492_00085 BU_ATCC8492_00085
uxuA_1 BU_ATCC8492_00086
tag_1 BU_ATCC8492_00087
transcript:BU_ATCC8492_00088 BU_ATCC8492_00088
transcript:BU_ATCC8492_00089 BU_ATCC8492_00089
transcript:BU_ATCC8492_00090 BU_ATCC8492_00090
rcsC_2 BU_ATCC8492_00091
transcript:BU_ATCC8492_00092 BU_ATCC8492_00092
transcript:BU_ATCC8492_00093 BU_ATCC8492_00093
transcript:BU_ATCC8492_00094 BU_ATCC8492_00094
